country_code,country,year,population_total,population_growth_pct,age_dependency_ratio,pop_65_plus_pct,pop_working_age_pct,urban_pop_pct,gdp_per_capita_usd,gdp_growth_pct,primary_energy_consumption,energy_per_capita,electricity_demand,electricity_demand_per_capita,fossil_share_energy,low_carbon_share_energy,renewables_share_energy,energy_per_gdp,demographic_phase
IND,India,1979,671155747,2.32548037680355,78.2074598737802,3.93443029247757,56.1143737446938,23.169162173677,227.958179873426,-5.2381827027895,1182.959,1762.57,,,86.618,13.382,12.826,1.248,growing_young
IND,India,1980,687354025,2.38482579119883,77.7617081261085,3.94737747847816,56.2550850296868,23.5084873816783,271.080945953678,6.7358215279985,1218.599,1772.884,,,86.694,13.306,12.743,1.2,growing_young
IND,India,1981,703696250,2.34973202595162,77.4442996803025,3.95909783799409,56.3557128209478,23.7875348455702,274.964330768528,6.00620362381767,1349.285,1917.425,,,87.227,12.773,12.261,1.252,growing_young
IND,India,1982,720313473,2.33396964438701,77.1464292145873,3.96962039053794,56.4504746532764,24.0306681216752,278.65038258267,3.47573324031237,1336.049,1854.816,,,89.111,10.889,10.437,1.202,growing_young
IND,India,1983,737372681,2.3406940951715,76.8314430501224,3.97826496366921,56.551028608389,24.2539519859126,295.999773299382,7.28889290124586,1405.05,1905.482,,,89.83,10.17,9.558,1.169,growing_young
IND,India,1984,754875449,2.34593300498783,76.5377223359011,3.98469867311846,56.6451173589565,24.4606633455594,281.049867840717,3.8207378559735,1500.919,1988.3,,,89.247,10.753,10.001,1.202,growing_young
IND,India,1985,772647793,2.3270540843985,76.2649733062572,3.99021478858997,56.7327689888321,24.654828858249,300.928258576378,5.25429922330889,1584.263,2050.433,,,90.065,9.935,9.14,1.22,growing_young
IND,India,1986,790689978,2.30826458791438,75.9796715196638,3.99560135818491,56.8247451594739,24.8404751816147,314.897116402542,4.77656417048946,1695.591,2144.444,,,90.511,9.489,8.662,1.253,growing_young
IND,India,1987,808931270,2.2808002561271,75.6478119789457,4.00186755050278,56.9321068525389,25.0216289732896,344.941028293075,3.96535563390576,1802.854,2228.686,,,91.594,8.406,7.582,1.276,growing_young
IND,India,1988,827342990,2.25053923542519,75.2337643196994,4.01039265468364,57.0666278323093,25.2023168909072,358.484539641693,9.62778291984834,1962.302,2371.812,,,91.364,8.636,7.771,1.258,growing_young
